game_id	url	TV	game_date	game_time_et	away_team	home_team	away_team_full_name	home_team_full_name	game_number_this_day	game_number_this_day_and_time	arena	city	away_team_espn_abbr	home_team_espn_abbr
253	https://www.nba.com/game/was-vs-sas-0022000253		1/24/21	7:00 PM ET	WAS	SAS	Washington Wizards	San Antonio Spurs	5	1	AT&T Center	"San Antonio, TX"	was	sas
254	https://www.nba.com/game/atl-vs-mil-0022000254	NBA TV	1/24/21	7:30 PM ET	ATL	MIL	Atlanta Hawks	Milwaukee Bucks	6	1	Fiserv Forum	"Milwaukee, WI"	atl	mil
255	https://www.nba.com/game/sac-vs-mem-0022000255		1/24/21	8:00 PM ET	SAC	MEM	Sacramento Kings	Memphis Grizzlies	7	1	FedExForum	"Memphis, TN"	sac	mem
256	https://www.nba.com/game/nyk-vs-por-0022000256	NBC Sports Northwest	1/24/21	9:00 PM ET	NYK	POR	New York Knicks	Portland Trail Blazers	8	1	Moda Center	"Portland, OR"	nyk	por
257	https://www.nba.com/game/phi-vs-det-0022000257		1/25/21	7:00 PM ET	PHI	DET	Philadelphia 76ers	Detroit Pistons	1	1	Little Caesars Arena	"Detroit, MI"	phi	det
258	https://www.nba.com/game/tor-vs-ind-0022000258		1/25/21	7:00 PM ET	TOR	IND	Toronto Raptors	Indiana Pacers	2	2	Bankers Life Fieldhouse	"Indianapolis, IN"	tor	ind
259	https://www.nba.com/game/cha-vs-orl-0022000259		1/25/21	7:00 PM ET	CHA	ORL	Charlotte Hornets	Orlando Magic	3	3	Amway Center	"Orlando, FL"	cha	orl
260	https://www.nba.com/game/mia-vs-bkn-0022000260	NBA TV	1/25/21	7:30 PM ET	MIA	BKN	Miami Heat	Brooklyn Nets	4	1	Barclays Center	"Brooklyn, NY"	mia	bkn
261	https://www.nba.com/game/lal-vs-cle-0022000261	Spectrum SportsNet	1/25/21	7:30 PM ET	LAL	CLE	Los Angeles Lakers	Cleveland Cavaliers	5	2	Rocket Mortgage FieldHouse	"Cleveland, OH"	lal	cle
262	https://www.nba.com/game/bos-vs-chi-0022000262		1/25/21	8:00 PM ET	BOS	CHI	Boston Celtics	Chicago Bulls	6	1	United Center	"Chicago, IL"	bos	chi
