row_num,game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,preview_url
659,0022200659,2023-01-16,3:00 pm ET,TOR,NYK,Toronto Raptors,New York Knicks,https://www.nba.com/game/tor-vs-nyk-0022200659
660,0022200660,2023-01-16,3:00 pm ET,GSW,WAS,Golden State Warriors,Washington Wizards,https://www.nba.com/game/gsw-vs-was-0022200660
661,0022200661,2023-01-16,3:30 pm ET,MIA,ATL,Miami Heat,Atlanta Hawks,https://www.nba.com/game/mia-vs-atl-0022200661
662,0022200662,2023-01-16,4:00 pm ET,UTA,MIN,Utah Jazz,Minnesota Timberwolves,https://www.nba.com/game/uta-vs-min-0022200662
663,0022200663,2023-01-16,6:00 pm ET,PHX,MEM,Phoenix Suns,Memphis Grizzlies,https://www.nba.com/game/phx-vs-mem-0022200663
664,0022200664,2023-01-16,10:30 pm ET,HOU,LAL,Houston Rockets,Los Angeles Lakers,https://www.nba.com/game/hou-vs-lal-0022200664
665,0022200665,2023-01-17,7:30 pm ET,TOR,MIL,Toronto Raptors,Milwaukee Bucks,https://www.nba.com/game/tor-vs-mil-0022200665
666,0022200666,2023-01-17,8:00 pm ET,BKN,SAS,Brooklyn Nets,San Antonio Spurs,https://www.nba.com/game/bkn-vs-sas-0022200666
667,0022200667,2023-01-17,9:00 pm ET,POR,DEN,Portland Trail Blazers,Denver Nuggets,https://www.nba.com/game/por-vs-den-0022200667
668,0022200668,2023-01-17,10:00 pm ET,PHI,LAC,Philadelphia 76ers,LA Clippers,https://www.nba.com/game/phi-vs-lac-0022200668
669,0022200669,2023-01-18,7:30 pm ET,WAS,NYK,Washington Wizards,New York Knicks,https://www.nba.com/game/was-vs-nyk-0022200669
670,0022200670,2023-01-18,7:30 pm ET,ATL,DAL,Atlanta Hawks,Dallas Mavericks,https://www.nba.com/game/atl-vs-dal-0022200670
671,0022200671,2023-01-18,8:00 pm ET,CHA,HOU,Charlotte Hornets,Houston Rockets,https://www.nba.com/game/cha-vs-hou-0022200671
672,0022200672,2023-01-18,8:00 pm ET,CLE,MEM,Cleveland Cavaliers,Memphis Grizzlies,https://www.nba.com/game/cle-vs-mem-0022200672
673,0022200673,2023-01-18,8:00 pm ET,MIA,NOP,Miami Heat,New Orleans Pelicans,https://www.nba.com/game/mia-vs-nop-0022200673
