game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900084,2019-11-02,10:00 PM,PHI,POR,Philadelphia 76ers,Portland Trail Blazers,8,1,phi,por
game_0021900085,2019-11-03,5:00 PM,CHI,IND,Chicago Bulls,Indiana Pacers,1,1,chi,ind
game_0021900086,2019-11-03,6:00 PM,HOU,MIA,Houston Rockets,Miami Heat,2,1,hou,mia
game_0021900087,2019-11-03,6:00 PM,SAC,NYK,Sacramento Kings,New York Knicks,3,2,sac,nyk
game_0021900088,2019-11-03,7:00 PM,LAL,SAS,Los Angeles Lakers,San Antonio Spurs,4,1,lal,sas
game_0021900089,2019-11-03,7:30 PM,DAL,CLE,Dallas Mavericks,Cleveland Cavaliers,5,1,dal,cle
game_0021900090,2019-11-03,9:00 PM,UTA,LAC,Utah Jazz,LA Clippers,6,1,uth,lac
game_0021900091,2019-11-04,7:00 PM,DET,WAS,Detroit Pistons,Washington Wizards,1,1,det,was
game_0021900092,2019-11-04,7:30 PM,NOP,BKN,New Orleans Pelicans,Brooklyn Nets,2,1,no,bkn
game_0021900093,2019-11-04,8:00 PM,HOU,MEM,Houston Rockets,Memphis Grizzlies,3,1,hou,mem
game_0021900094,2019-11-04,8:00 PM,MIL,MIN,Milwaukee Bucks,Minnesota Timberwolves,4,2,mil,min
game_0021900095,2019-11-04,9:00 PM,PHI,PHX,Philadelphia 76ers,Phoenix Suns,5,1,phi,phx
game_0021900096,2019-11-04,10:30 PM,POR,GSW,Portland Trail Blazers,Golden State Warriors,6,1,por,gsw
game_0021900098,2019-11-05,7:00 PM,BOS,CLE,Boston Celtics,Cleveland Cavaliers,1,1,bos,cle
game_0021900097,2019-11-05,7:00 PM,IND,CHA,Indiana Pacers,Charlotte Hornets,2,2,ind,cha
game_0021900099,2019-11-05,7:30 PM,SAS,ATL,San Antonio Spurs,Atlanta Hawks,3,1,sas,atl
game_0021900100,2019-11-05,8:00 PM,LAL,CHI,Los Angeles Lakers,Chicago Bulls,4,1,lal,chi
game_0021900101,2019-11-05,8:00 PM,ORL,OKC,Orlando Magic,Oklahoma City Thunder,5,2,orl,okc
game_0021900102,2019-11-05,9:00 PM,MIA,DEN,Miami Heat,Denver Nuggets,6,1,mia,den
game_0021900103,2019-11-06,7:00 PM,NYK,DET,New York Knicks,Detroit Pistons,1,1,nyk,det
game_0021900104,2019-11-06,7:00 PM,WAS,IND,Washington Wizards,Indiana Pacers,2,2,was,ind
game_0021900105,2019-11-06,7:30 PM,CHI,ATL,Chicago Bulls,Atlanta Hawks,3,1,chi,atl
game_0021900107,2019-11-06,7:30 PM,GSW,HOU,Golden State Warriors,Houston Rockets,4,2,gsw,hou
game_0021900106,2019-11-06,7:30 PM,SAC,TOR,Sacramento Kings,Toronto Raptors,5,3,sac,tor
game_0021900108,2019-11-06,8:00 PM,MIN,MEM,Minnesota Timberwolves,Memphis Grizzlies,6,1,min,mem
game_0021900109,2019-11-06,8:30 PM,ORL,DAL,Orlando Magic,Dallas Mavericks,7,1,orl,dal
game_0021900110,2019-11-06,9:00 PM,PHI,UTA,Philadelphia 76ers,Utah Jazz,8,1,phi,uth
game_0021900111,2019-11-06,10:00 PM,MIL,LAC,Milwaukee Bucks,LA Clippers,9,1,mil,lac
game_0021900112,2019-11-07,8:00 PM,BOS,CHA,Boston Celtics,Charlotte Hornets,1,1,bos,cha
game_0021900113,2019-11-07,8:30 PM,OKC,SAS,Oklahoma City Thunder,San Antonio Spurs,2,1,okc,sas
game_0021900114,2019-11-07,9:00 PM,MIA,PHX,Miami Heat,Phoenix Suns,3,1,mia,phx
game_0021900115,2019-11-07,10:30 PM,POR,LAC,Portland Trail Blazers,LA Clippers,4,1,por,lac
game_0021900118,2019-11-08,7:00 PM,CLE,WAS,Cleveland Cavaliers,Washington Wizards,1,1,cle,was
game_0021900116,2019-11-08,7:00 PM,DET,IND,Detroit Pistons,Indiana Pacers,2,2,det,ind
game_0021900117,2019-11-08,7:00 PM,MEM,ORL,Memphis Grizzlies,Orlando Magic,3,3,mem,orl
game_0021900119,2019-11-08,7:30 PM,SAC,ATL,Sacramento Kings,Atlanta Hawks,4,1,sac,atl
game_0021900120,2019-11-08,8:00 PM,GSW,MIN,Golden State Warriors,Minnesota Timberwolves,5,1,gsw,min
game_0021900121,2019-11-08,8:00 PM,TOR,NOP,Toronto Raptors,New Orleans Pelicans,6,2,tor,no
game_0021900122,2019-11-08,8:30 PM,NYK,DAL,New York Knicks,Dallas Mavericks,7,1,nyk,dal
game_0021900124,2019-11-08,9:00 PM,MIL,UTA,Milwaukee Bucks,Utah Jazz,8,1,mil,uth
game_0021900123,2019-11-08,9:00 PM,PHI,DEN,Philadelphia 76ers,Denver Nuggets,9,2,phi,den
game_0021900125,2019-11-08,10:00 PM,BKN,POR,Brooklyn Nets,Portland Trail Blazers,10,1,bkn,por
game_0021900126,2019-11-08,10:30 PM,MIA,LAL,Miami Heat,Los Angeles Lakers,11,1,mia,lal
game_0021900127,2019-11-09,5:00 PM,BOS,SAS,Boston Celtics,San Antonio Spurs,1,1,bos,sas
game_0021900128,2019-11-09,7:00 PM,NOP,CHA,New Orleans Pelicans,Charlotte Hornets,2,1,no,cha
game_0021900130,2019-11-09,8:00 PM,DAL,MEM,Dallas Mavericks,Memphis Grizzlies,3,1,dal,mem
game_0021900131,2019-11-09,8:00 PM,GSW,OKC,Golden State Warriors,Oklahoma City Thunder,4,2,gsw,okc
game_0021900129,2019-11-09,8:00 PM,HOU,CHI,Houston Rockets,Chicago Bulls,5,3,hou,chi
