row_num,game_id,game_url,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,tv,local_tv,radio,arena,city,away_team_espn_abbr,home_team_espn_abbr
11,0022300071,https://www.nba.com/game/nop-vs-mem-0022300071,2023-10-25,8:00 pm,NOP,MEM,New Orleans Pelicans,Memphis Grizzlies,9,2,LEAGUE PASS,ESPN 92.9FM/680AM|WRNO 99.5FM,Bally Sports SE-MEM|Bally Sports New Orleans,,,no,mem
12,0022300072,https://www.nba.com/game/sac-vs-uta-0022300072,2023-10-25,9:00 pm,SAC,UTA,Sacramento Kings,Utah Jazz,10,1,LEAGUE PASS,KSL 1160 AM & 102.7 FM / S: KBMG 106.3 FM|Sactown Sports 1140 AM,KJZZ|NBCSCA,,,sac,uth
13,0022300073,https://www.nba.com/game/dal-vs-sas-0022300073,2023-10-25,9:30 pm,DAL,SAS,Dallas Mavericks,San Antonio Spurs,11,1,ESPN,WOAI/KXTN|97.1 FM / S: 99.1 FM,,,,dal,sas
14,0022300074,https://www.nba.com/game/por-vs-lac-0022300074,2023-10-25,10:30 pm,POR,LAC,Portland Trail Blazers,LA Clippers,12,1,LEAGUE PASS,AM 570 KLAC/S: KWKW|Rip City Radio 620,Bally Sports SoCal|ROOT SPORTS/ROOT SPORTS Plus,,,por,lac
15,0022300075,https://www.nba.com/game/phi-vs-mil-0022300075,2023-10-26,7:30 pm,PHI,MIL,Philadelphia 76ers,Milwaukee Bucks,1,1,TNT,620 AM/103.3 FM WTMJ|97.5 The Fanatic,,,,phi,mil
16,0022300076,https://www.nba.com/game/phx-vs-lal-0022300076,2023-10-26,10:00 pm,PHX,LAL,Phoenix Suns,Los Angeles Lakers,2,1,TNT,ESPN LA 710/1330 KWKW|KMVP 98.7 / S: KSUN,,,,phx,lal
17,0022300077,https://www.nba.com/game/det-vs-cha-0022300077,2023-10-27,7:00 pm,DET,CHA,Detroit Pistons,Charlotte Hornets,1,1,LEAGUE PASS,WFNZ 92.7 FM|97.1 FM The Ticket,Bally Sports SE-CHA|Bally Sports DET,,,det,cha
18,0022300078,https://www.nba.com/game/den-vs-mem-0022300078,2023-10-27,7:00 pm,DEN,MEM,Denver Nuggets,Memphis Grizzlies,2,2,LEAGUE PASS,ESPN 92.9FM/680AM|Altitude Sports Radio 92.5 FM,Bally Sports SE-MEM|Altitude,,,den,mem
19,0022300079,https://www.nba.com/game/nyk-vs-atl-0022300079,2023-10-27,7:30 pm,NYK,ATL,New York Knicks,Atlanta Hawks,3,1,LEAGUE PASS,WZGC|ESPN NY 98.7,Bally Sports SE-ATL|MSG,,,nyk,atl
20,0022300080,https://www.nba.com/game/mia-vs-bos-0022300080,2023-10-27,7:30 pm,MIA,BOS,Miami Heat,Boston Celtics,4,2,ESPN,98.5 The Sports Hub|WQAM 560 / S: WAQI 710,NBC Sports Boston|Bally Sports Sun,,,mia,bos
21,0022300081,https://www.nba.com/game/okc-vs-cle-0022300081,2023-10-27,7:30 pm,OKC,CLE,Oklahoma City Thunder,Cleveland Cavaliers,5,3,LEAGUE PASS,WTAM/WMMS/La Mega|WWLS 98.1FM OKC,Bally Sports Ohio|Bally Sports OK,,,okc,cle
22,0022300082,https://www.nba.com/game/tor-vs-chi-0022300082,2023-10-27,8:00 pm,TOR,CHI,Toronto Raptors,Chicago Bulls,6,1,LEAGUE PASS,670 AM / S: 1200 AM|TSN Radio 1050,NBCSCH+|TSN,,,tor,chi
23,0022300083,https://www.nba.com/game/hou-vs-sas-0022300083,2023-10-27,8:00 pm,HOU,SAS,Houston Rockets,San Antonio Spurs,7,2,LEAGUE PASS,WOAI/KXTN|790 AM / S: 93.3 FM,Bally Sports SW-SA|Space City Home Network,,,hou,sas
